Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,2.320000,2.450000,2.260000,2.350000,2.350000,9517500
2020-05-05,2.430000,2.620000,2.390000,2.600000,2.600000,11729925
2020-05-06,2.750000,2.940000,2.700000,2.820000,2.820000,15835686
2020-05-07,2.830000,3.000000,2.700000,2.860000,2.860000,11589265
2020-05-08,3.110000,3.420000,3.080000,3.270000,3.270000,20427132
2020-05-11,3.500000,3.630000,3.430000,3.480000,3.480000,15978183
2020-05-12,3.530000,3.540000,3.320000,3.420000,3.420000,9832536
2020-05-13,3.280000,3.420000,3.180000,3.380000,3.380000,11659145
2020-05-14,3.300000,3.390000,3.180000,3.190000,3.190000,7277238
2020-05-15,3.300000,3.330000,3.040000,3.090000,3.090000,10212831
2020-05-18,3.200000,3.200000,3.070000,3.090000,3.090000,6367052
2020-05-19,3.190000,3.250000,3.060000,3.090000,3.090000,8099017
2020-05-20,3.050000,3.380000,3.020000,3.350000,3.350000,10116720
2020-05-21,3.480000,3.490000,3.320000,3.380000,3.380000,8737150
2020-05-22,3.380000,3.480000,3.320000,3.370000,3.370000,6123723
2020-05-25,3.430000,3.620000,3.430000,3.580000,3.580000,8116273
2020-05-26,3.680000,3.760000,3.650000,3.700000,3.700000,6915635
2020-05-27,3.680000,3.740000,3.540000,3.660000,3.660000,6434781
2020-05-28,3.740000,3.770000,3.590000,3.620000,3.620000,4980716
2020-05-29,3.650000,3.750000,3.565000,3.750000,3.750000,6653896
2020-06-01,3.750000,3.750000,3.750000,3.750000,3.750000,0
2020-06-02,5.000000,5.400000,4.750000,5.200000,5.200000,32689246
2020-06-03,6.000000,6.790000,5.970000,6.350000,6.350000,42485796
2020-06-04,6.590000,6.730000,5.880000,5.950000,5.950000,27809846
2020-06-05,5.810000,5.860000,5.370000,5.640000,5.640000,20045499
2020-06-09,6.000000,6.530000,5.820000,6.530000,6.530000,20749219
2020-06-10,6.480000,6.750000,6.200000,6.750000,6.750000,13262540
2020-06-11,6.620000,6.970000,6.370000,6.530000,6.530000,14260277
2020-06-12,5.900000,6.480000,5.700000,6.300000,6.300000,20772948
